file,offset,budget,pinned,japanese,english
06178.sfm,0x2646,51,,"「テイルズオブファンタジア」クイズは
わたしが出すわ","I'll be asking the
Tales of Phantasia questions."
06178.sfm,0x267A,30,,全問正解目指して頑張りましょう,Let's aim for a perfect score!
06178.sfm,0x2699,12,,よし、行くぞ,"All right, here I go!"
06178.sfm,0x26A6,22,,%sには簡単過ぎるかもね,"It might be too easy for you, %s."
06178.sfm,0x26BD,12,,へへ、まあね,"Heh, maybe."
06178.sfm,0x26CA,30,,それじゃ、行きましょう。第一問,"Here we go, then. Question 1."
06178.sfm,0x26E9,8,,よっしゃ,All right!
06178.sfm,0x26F2,22,,その調子で行きましょう,Keep it up!
06178.sfm,0x2709,14,,あ、あれ････？,Huh...? Wait...
06178.sfm,0x2721,6,,第二問,Question 2.
06178.sfm,0x2728,6,,第三問,Question 3.
06178.sfm,0x272F,20,,出だしは好調みたいね,You're off to a good start.
06178.sfm,0x2744,6,,四問目,Question 4.
06178.sfm,0x274B,6,,第五問,Question 5.
06178.sfm,0x2752,6,,第六問,Question 6.
06178.sfm,0x2759,18,,よっしゃ、よっしゃ,"Yeah, yeah!"
06178.sfm,0x276C,14,,絶好調みたいね,You're on a roll.
06178.sfm,0x277B,16,,おかしいなぁ････,That's weird...
06178.sfm,0x278C,6,,第七問,Question 7.
06178.sfm,0x2793,6,,第八問,Question 8.
06178.sfm,0x279A,6,,第九問,Question 9.
06178.sfm,0x27A1,24,,あと一問、正解すれば････,One more right answer and...
06178.sfm,0x27BA,18,,よし、やってやる！,"All right, let's do this!"
06178.sfm,0x27CD,32,,せめて一問くらいは当てましょう？,"Let's at least get one right, okay?"
06178.sfm,0x27EE,12,,う、うん････,Y-yeah...
06178.sfm,0x27FB,20,,これが最後よ、第十問,This is the last one. Question 10.
06178.sfm,0x2810,14,,おっしゃぁー！,Yeaaah!
06178.sfm,0x281F,18,,あぁぁぁぁぁ････！,Aaaaaagh...!
06178.sfm,0x2832,24,,くそー、ここまで来て････,"Damn, I came so close..."
06178.sfm,0x284B,20,,ふぅ、危なかった････,"Phew, that was close..."
06178.sfm,0x2860,24,,まぁ、こんなもんかな････,"Well, I guess that's about right..."
06178.sfm,0x2879,24,,おめでとう、全問正解よ！,Congratulations! A perfect score!
06178.sfm,0x2892,20,,ねぇ、本気出してる？,Um... are you really trying?
06178.sfm,0x28A7,28,,次はもっと上を目指しましょう,Let's aim higher next time.
06178.sfm,0x28C4,24,,もっと勉強しましょう････,Let's study a bit more...
06179.sfm,0x2646,51,,"%s様の「テイルズオブデスティニー２」クイズの
時間だ","Time for the Great %s's
Tales of Destiny 2 Quiz!"
06179.sfm,0x267A,26,,全問正解目指して頑張ろうぜ,Let's go for a perfect score!
06179.sfm,0x2695,12,,よし、行くぞ,"All right, here I go!"
06179.sfm,0x26A2,32,,おまえにとっちゃ簡単なもんだろ？,"Should be a piece of cake for you, right?"
06179.sfm,0x26C3,12,,へへ、まあね,"Heh, maybe."
06179.sfm,0x26D0,26,,それじゃ、始めるぜ。第一問,"Okay, let's get started. Question 1."
06179.sfm,0x26EB,8,,よっしゃ,All right!
06179.sfm,0x26F4,28,,よしよし、その調子で行こうぜ,"Nice, nice. Keep it up!"
06179.sfm,0x2711,14,,あ、あれ････？,Huh...? Wait...
06179.sfm,0x2720,20,,いきなりそれかよ････,"Right out of the gate, huh..."
06179.sfm,0x2735,14,,続いて、第二問,"Next up, Question 2."
06179.sfm,0x2744,14,,さらに、第三問,"And now, Question 3."
06179.sfm,0x2753,22,,出だしは好調みたいだな,"Off to a good start, huh."
06179.sfm,0x276A,12,,よし、四問目,"Okay, Question 4."
06179.sfm,0x2777,14,,んじゃ、第五問,"Then, Question 5."
06179.sfm,0x2786,16,,でもって、第六問,"And then, Question 6."
06179.sfm,0x2797,18,,よっしゃ、よっしゃ,"Yeah, yeah!"
06179.sfm,0x27AA,22,,なんか絶好調じゃねぇか,"Man, you're on fire!"
06179.sfm,0x27C1,16,,おかしいなぁ････,That's weird...
06179.sfm,0x27D2,12,,厄日だな････,"Not your day, huh..."
06179.sfm,0x27DF,22,,気を取り直して、第七問,Shake it off. Question 7.
06179.sfm,0x27F6,24,,スパートかけろよ、第七問,Time to pick up the pace. Question 7.
06179.sfm,0x280F,24,,ボチボチいこうぜ、第七問,Let's take it easy. Question 7.
06179.sfm,0x2828,6,,第八問,Question 8.
06179.sfm,0x282F,8,,来た････,Here it comes...
06179.sfm,0x2838,8,,････うん,...Yeah.
06179.sfm,0x2841,8,,おぃ････,Hey...
06179.sfm,0x284A,12,,う、うん････,Y-yeah...
06179.sfm,0x2857,24,,気合い入れてけ、第九問！,Put your back into it! Question 9!
06179.sfm,0x2870,22,,来た、来た････来たぞ！,"Here it comes, here it comes... Here it is!"
06179.sfm,0x2887,18,,よし、やってやる！,"All right, let's do this!"
06179.sfm,0x289A,32,,せめて一問くらいは当てようぜ････,Let's at least get one right...
06179.sfm,0x28BB,24,,運命の分かれ目、第十問！,The moment of truth! Question 10!
06179.sfm,0x28D4,24,,最後のチャンスだ、第十問,Last chance. Question 10.
06179.sfm,0x28ED,22,,こいつで最後だ、第十問,This is the last one. Question 10.
06179.sfm,0x2904,14,,おっしゃぁー！,Yeaaah!
06179.sfm,0x2913,18,,あぁぁぁぁぁ････！,Aaaaaagh...!
06179.sfm,0x2926,24,,くそー、ここまで来て････,"Damn, I came so close..."
06179.sfm,0x293F,20,,ふぅ、危なかった････,"Phew, that was close..."
06179.sfm,0x2954,24,,まぁ、こんなもんかな････,"Well, I guess that's about right..."
06179.sfm,0x296D,30,,すげぇぜ、%s！パーフェクトだ！,"Amazing, %s! A perfect score!"
06179.sfm,0x298C,34,,何も言うことはねぇよ････お疲れさん,Nothing more to say... Nice work.
06179.sfm,0x29AF,44,,まぁまぁだな。更なる高みを目指して努力しろよ,Not bad. Keep working at it and aim higher.
