file,offset,japanese,english
06167.md1,0x1E8F8,"クイズをやめますか？
 
<button:00000035>やめる  <button:00000036>やめない","Quit the quiz?
 
<button:00000035>Quit  <button:00000036>Don't"
06798.md1,0x5948,術・技,Artes
06798.md1,0x5980,マニュアル,Manual
06798.md1,0x5990,セミオート,Semi-Auto
06798.md1,0x59A0,オート,Auto
06798.md1,0x59A8,"<button:00000035>使用
<button:00000036>戻る
<button:00000037>説明切替
<button:00000038>使用切替","<button:00000035>Use
<button:00000036>Back
<button:00000037>Info
<button:00000038>Toggle"
06798.md1,0x59D8,<button:00000021><button:00000039><button:0000003A>キャラ切替,<button:00000021><button:00000039><button:0000003A>Switch Char
06798.md1,0x5C60,<button:00000035><button:00000036>戻る,<button:00000035><button:00000036>Back
06799.md1,0x6370,"たちは
称号「","'s party got """
06799.md1,0x6380,」を得ました,""" as a title!"
06799.md1,0x64B8,アイテム,Items
06799.md1,0x64C8,装身具,Trinket
06799.md1,0x64D0,防具,Armor
06799.md1,0x64D8,武器,Weapon
06799.md1,0x64E0,道具,Items
06799.md1,0x64E8,新規,New
06799.md1,0x64F8,外装,Outfit
06799.md1,0x6500,装飾品,Jewelry
06799.md1,0x6508,腕輪,Bangle
06799.md1,0x6510,短剣,Dagger
06799.md1,0x6518,篭手,Glove
06799.md1,0x6550,両手,2-Hand
06799.md1,0x6560,貴重品,Special
06799.md1,0x6568,食材,Food
06799.md1,0x6570,調理器具,Cookware
06799.md1,0x6580,"<button:00000035>決定
<button:00000036>戻る","<button:00000035>Select
<button:00000036>Back"
06799.md1,0x6610,ふつう,Normal
06799.md1,0x6618,"使いますか？
 
<button:00000035>使う  <button:00000036>やめる","Use this?
 
<button:00000035>Use  <button:00000036>Cancel"
06799.md1,0x6640,"捨てますか？
 
<button:00000035>捨てる  <button:00000036>やめる","Discard it?
 
<button:00000035>Yes  <button:00000036>No"
06799.md1,0x6680,"<button:00000035>使用
<button:00000036>戻る
<button:00000037>説明切替
<button:00000038>捨てる","<button:00000035>Use
<button:00000036>Back
<button:00000037>Info
<button:00000038>Drop"
06799.md1,0x66B0,<button:00000036>戻る,<button:00000036>Back
06799.md1,0x66C0,は捨てられません, can't be discarded.
06799.md1,0x6718,みんなナイスガイになった,Everyone became a nice guy!
06799.md1,0x6738,全身に聖気をまとったような気がする,You feel wrapped in holy energy.
06799.md1,0x6760,全身に邪気をまとったような気がする,You feel wrapped in dark energy.
06799.md1,0x6788,が飛び出した, popped out!
06799.md1,0x67C8,は無くなりました, is all gone.
06799.md1,0x67E0,しばし待たれい,One moment.
06799.md1,0x6B84,しばし待たれい,One moment.
06800.md1,0x43C0,装備,Equip
06800.md1,0x43C8,装飾品,Jewelry
06800.md1,0x43D8,外装,Outfit
06800.md1,0x43F8,武器,Weapon
06800.md1,0x4400,価格(低),Price (low)
06800.md1,0x4410,価格(高),Price (high)
06800.md1,0x4420,回避,Evade
06800.md1,0x4428,能力,Stats
06800.md1,0x4430,防御回数,Block Count
06800.md1,0x4440,防御力,Defense
06800.md1,0x4448,アイウエオ,Alphabetical
06800.md1,0x4458,スロットレベル,Slot Level
06800.md1,0x4468,攻撃力,Attack
06800.md1,0x4470,"<button:00000035>変更
<button:00000036>戻る
<button:00000037>説明切替
<button:00000038>はずす
<button:00000039><button:0000003A>キャラ切替","<button:00000035>Change
<button:00000036>Back
<button:00000037>Info
<button:00000038>Remove
<button:00000039><button:0000003A>Switch"
06800.md1,0x4500,"<button:00000035>決定
<button:00000036>戻る
<button:00000037>説明切替","<button:00000035>Select
<button:00000036>Back
<button:00000037>Info"
06800.md1,0x4528,"<button:00000035>決定
<button:00000036>戻る","<button:00000035>Select
<button:00000036>Back"
06800.md1,0x4578,武器は外せません,Can't remove weapon.
06800.md1,0x4590,装備を外せません,Can't remove that.
06800.md1,0x45A8,"<button:00000036>戻る
<button:00000037>オート装備
<button:00000038>全てはずす
<button:00000021><button:00000039><button:0000003A>キャラ切替","<button:00000036>Back
<button:00000037>Auto-Equip
<button:00000038>Remove All
<button:00000021><button:00000039><button:0000003A>Switch"
06801.md1,0x2B98,作戦,Tactics
06801.md1,0x2BA0,"<button:00000035>決定
<button:00000036>戻る
<button:00000037>説明切替
<button:00000038>リスト表示
","<button:00000035>Select
<button:00000036>Back
<button:00000037>Info
<button:00000038>List View
"
