offset,pointers,japanese,english
0x113FA2,0xD7404,おかえり！,Welcome Home!
0x113F97,0xD7408,懐かしき街,Nostalgic Town
0x113F88,0xD740C,あいさつまわり,Making the Rounds
0x113F7F,0xD7410,準備良し,All Set
0x113F76,0xD7414,遺跡探索,Ruin Explorer
0x113F71,0xD7418,目印,Landmark
0x113F5E,0xD741C,冒険ごっこの思い出,Playing Adventurer
0x113F4C,0xD7420,ふられマン\予告編,Dumped Man\Teaser
0x113F38,0xD7428,古代の秘宝,Ancient Treasure
0x113F27,0xD742C,父の背中を追って,Following Father
0x113F16,0xD7430,ゴージャス孤児院,Gorgeous Orphanage
0x113F0D,0xD7434,トラップ,Trap
0x113F02,0xD7438,備えあれば,Be Prepared
0x113EF1,0xD743C,トンズラ一家物語,Runaway Family Tale
0x113EEC,0xD7440,門限,Curfew
0x113EDD,0xD7444,母の愛とビンタ,A Mother's Slap
0x113ED4,0xD7448,絶対運命,Absolute Destiny
0x113EC9,0xD744C,最初の冒険,First Adventure
0x113EC0,0xD7450,仮面の男,Masked Man
0x113EBB,0xD7454,自立,Independence
0x113EAC,0xD7458,ときめきの旅路,Thrilling Journey
0x113EA5,0xD745C,脱獄犯,Jailbreaker
0x113E9A,0xD7460,マリーの噂,Rumors of Marie
0x113E85,0xD7464,コインに願いを込めて,Wish Upon a Coin
0x113E76,0xD7468,他人事のように,Someone Else's Problem
0x113E61,0xD746C,ＬＯＶＥ！　眼鏡ッ子,LOVE! Glasses Girl
0x113E54,0xD7470,ひそかな特技,Secret Talent
0x113E4B,0xD7474,寝ぼすけ,Sleepyhead
0x113E3C,0xD7478,寝る子は寝てる,Sleeping Child
0x113E33,0xD747C,大あくび,Big Yawn
0x113E28,0xD7480,急を要する,Urgent
0x113E1B,0xD7488,謎の男と共に,With the Masked Man
0x113E14,0xD748C,能天気,Carefree
0x113E03,0xD7490,なぜ知っている!?,How Do You Know!?
0x113DF4,0xD7494,地下水路大脱出,Sewer Escape
0x113DEB,0xD7498,強い情熱,Burning Passion
0x113DE6,0xD749C,決心,Resolve
0x113DD9,0xD74A0,旅立ちの決意,Ready to Depart
0x113DCC,0xD74A4,冒険の始まり,Adventure Begins
0x113DBD,0xD74A8,心に焼きつけて,Burned Into Memory
0x113DB4,0xD74AC,英雄志願,Hero Hopeful
0x113DA9,0xD74B0,ふられマン,Dumped Man
0x113D99,0xD74B8,大落下,Great Fall
0x113D8A,0xD74BC,物を動かす方法,How to Move Things
0x113D77,0xD74C0,あしながおにいさま,Long-Legged Big Bro
0x113D72,0xD74C4,嫉妬,Jealousy
0x113D67,0xD74C8,冒険の予感,Adventure Awaits
0x113D4E,0xD74CC,ソーサラーリング使用方法,Using the Sorcerer's Ring
0x113D43,0xD74D4,男のロマン,A Man's Dream
